regiao;data;turno;praca;subpraca;logados;slots;pct_logados;horario_coleta;modal
Sao Paulo;2026-07-16;J6 JANTAR 18h00-22h59;SP DEDICADO;Koto by Chef Makoto Okuwa;8;8;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18H30-23H59;SP DEDICADO;FE- Vip Sushi Osasco | HUB Virtual;2;7;28.6%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FE 18H30-20H59;SP DEDICADO;Greenjoy - Wraps & Saladas- Pinheiros;1;3;33.3%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;John's Burguer;3;5;60.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;Nino Delivery - Itaim;3;3;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FE 18H30-22H59;SP DEDICADO;Padaria Real - Pinheiros;6;6;100.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR FE 18H30-22H59;SP DEDICADO;Patties Burger - Bandeirantes;5;12;41.7%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SP DEDICADO;Perdomo Doces e Bolos - Pinheiros;2;2;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FE 18H30-22H59;SP DEDICADO;Poke Garden - Brooklin;7;10;70.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;Poke Garden  - Jardins;6;10;60.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;Sushi Fast - Santana;1;5;20.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;FE - Johns Mooca | HUB Virtual;2;10;20.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;FE - Papila Centro | HUB Virtual;3;5;60.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18H30 - 21H29 FR;SAO PAULO;LIVRE;21;21;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;FE - Papila Brooklin | HUB Virtual;5;5;100.0%;2026-07-16 18:05;Todos
